,0
839,YBR090C
840,Phi174 Control
841,p1
842,CLB5
843,YOL024W
844,p1
845,WHI5
846,YMR135W-A
847,p2
848,RPL31A
849,p1
850,SAE3
851,YNL235C
852,MCH2
853,p1
854,YJR026W
855,n2
856,p1
857,GAT4
858,PFS1
859,YJL142C
860,blank
861,n2
862,n1
863,p1
864,blank
865,n1
866,Human Control
867,n1
868,Lambda Control
869,Phi174 Control
870,p1
871,p1
872,Yeast Control
873,E. coli control
874,Lambda Control
875,Phi174 Control
876,DIT1
877,YLR035C-A
878,PRM6
879,YAR010C
880,DIT2
881,ALP1
882,p2
883,n2
884,YBR012W-A
885,HSP32
886,YLR280C
887,YCL074W
888,p2
889,TRM9
890,n1
891,p2
892,p1
893,SPS100
894,YDL196W
895,E. coli control
896,YOL131W
897,OSW1
898,Yeast Control
899,YIL059C
900,E. coli control
901,Lambda Control
902,HXT14
903,Phi174 Control
904,TIS11
905,n2
906,SEC4
907,IRC18
908,n2
909,CTF3
910,n2
911,Yeast Control
912,E. coli control
913,Lambda Control
914,Phi174 Control
915,p2
916,PRP19
917,THI12
918,LDS1
919,REG2
920,TDH3
921,n2
922,n2
923,UTR5
924,MPC54
925,ECM11
926,YML040W
927,YOL160W
928,YNL034W
929,n2
930,RRT5
931,YDL114W
932,n1
933,n1
934,p1
935,Yeast Control
936,Lambda Control
937,Phi174 Control
938,n2
939,NOP13
940,Yeast Control
941,E. coli control
942,Phi174 Control
943,SPR28
944,p2
945,YJR028W
946,STE13
947,YMR051C
948,FBP1
949,n1
950,YNR073C
951,CRC1
952,SNO4
953,CDA1
954,VPH2
955,YNL028W
956,p2
957,YAR009C
958,YOR366W
959,n2
960,YAR053W
961,YMR085W
962,Yeast Control
963,n2
964,E. coli control
965,Lambda Control
966,TCA17
967,YGR290W
968,p1
969,p1
970,Yeast Control
971,p2
972,E. coli control
973,YDR340W
974,Lambda Control
975,Phi174 Control
976,YBL065W
977,YOR029W
978,p2
979,Yeast Control
980,YCL041C
981,Phi174 Control
982,Human Control
983,YAL035C-A
984,YKR041W
985,Phi174 Control
986,p2
987,YKR012C
988,YCL042W
989,SRL4
990,n1
991,n1
992,YOR012W
993,YHL041W
994,p2
995,n2
996,p2
997,Yeast Control
998,p2
999,E. coli control
1000,Lambda Control
1001,Phi174 Control
1002,n2
1003,p2
1004,p1
1005,YNL226W
1006,YIR035C
1007,n1
1008,n2
1009,YCL023C
1010,Yeast Control
1011,YLR416C
1012,YKR005C
1013,PTK1
1014,Human Control
1015,Lambda Control
1016,Phi174 Control
1017,YBR178W
1018,YOR008C-A
1019,YKL147C
1020,blank
1021,SSU72
1022,CBS1
1023,p1
1024,YJR128W
1025,n1
1026,YOR199W
1027,blank
1028,YMR317W
1029,p1
1030,SPO23
1031,PES4
1032,blank
1033,YML095C-A
1034,Human Control
1035,YGL072C
1036,YOR282W
1037,p2
1038,n1
1039,YLR236C
1040,n2
1041,YJL182C
1042,RNP1
1043,YGR114C
1044,n1
1045,p1
1046,YJR027W
1047,n1
1048,PRE9
1049,YJL220W
1050,YCR001W
1051,YAR069C
1052,n2
1053,YIL025C
1054,n1
1055,YFR020W
1056,DTR1
1057,blank
1058,blank
1059,UTP11
1060,YCR102W-A
1061,n1
1062,n2
1063,DAL1
1064,n1
1065,n2
1066,blank
1067,blank
1068,n2
1069,blank
1070,YLR428C
1071,YFR056C
1072,Human Control
1073,YDR445C
1074,YDR048C
1075,Lambda Control
1076,Phi174 Control
1077,YDR010C
1078,Yeast Control
1079,Human Control
1080,n2
