0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Fake
-0.451874,0.0948541,-0.145489,-0.292291,0.270368,0.415536,-0.291346,-0.00952294,0.16464,-0.44832,0.635482,0.311802,-0.357058,-0.811809,-0.91878,-0.313854,-0.100214,0.919407,0.282378,0.668693,1.0254,-0.156453,0.0870804,1.07953,0.0858525,1.019,-0.327569,0.238541,-1.22493,0.828635,0
-0.0589996,-0.329389,-0.161162,0.161494,0.504672,0.303321,0.287948,0.364081,0.257052,-0.0262406,0.319612,0.21136,-0.43512,-0.711109,-1.05639,-0.0707609,-0.056306,0.951153,-0.397766,0.278286,0.540751,-0.508239,0.00822157,0.694451,-0.0258884,0.241575,0.607762,0.298081,0.146727,0.366507,0
-0.136998,-0.22584,-0.0752167,-0.00855651,0.0662143,-0.224509,0.398632,0.269179,0.143037,0.2441,0.106588,0.174442,0.0495129,-0.100158,-0.00653349,-0.282923,-0.273024,-0.21209,0.133977,0.184828,0.0484072,0.257579,0.103061,0.236769,0.653215,0.098864,0.431481,-0.165117,0.169504,0.262886,0
-0.294511,-0.28348,-0.532994,-0.257701,-0.196492,-0.241122,0.137389,0.374973,0.399807,-0.248892,0.00170249,-0.107801,-0.155554,-0.0409723,-0.0407772,-0.301059,-0.357013,-0.396342,-0.0209128,-0.0956805,-0.344694,-0.303764,-0.0244391,-0.325928,-0.274904,0.110198,0.14888,-0.136965,0.318485,0.398955,0
0.0187829,0.176953,0.590905,-0.486612,-0.0521233,-0.320197,-1.20116,-1.05069,-1.05504,-0.530252,-0.261595,-0.0849172,0.298128,-0.161108,-0.181308,0.812638,0.228617,0.910411,-0.250367,-0.304289,-0.266139,-0.572252,-0.769251,-0.37428,0.15145,-0.423455,-0.0479423,0.250379,0.0858753,0.222599,0
-0.0729492,0.087715,0.127223,0.172988,0.246657,0.106874,0.480201,0.357327,0.39074,1.43486,1.31991,1.46762,-0.444402,-0.588944,-0.54677,0.719626,0.0423811,0.316074,1.09111,0.73203,0.862624,1.56553,1.48273,1.59481,0.345139,0.222977,1.28572,-0.358476,0.396633,-0.208245,0
-0.166997,-0.0437118,0.0740726,-0.267548,-0.293332,-0.0961414,-0.554033,-0.0446521,-0.206239,-0.509424,-0.327697,-0.288644,0.162244,0.111755,0.100553,0.250901,0.00831631,0.137411,-0.37833,-0.210886,-0.2286,-0.730281,-0.439335,-0.409651,-0.806384,-0.328358,-0.686857,0.134095,-0.590613,-0.220959,0
-0.393664,-0.35334,-0.210829,-0.140817,0.053061,-0.113445,0.518958,0.338969,0.4302,0.635984,0.593111,0.809155,-0.291085,-0.443767,-0.492513,-0.500166,-0.740831,-0.303962,-0.0389347,-0.184898,0.00715437,0.391446,0.356651,0.436074,-0.0250269,0.0831264,-0.0800527,-0.602363,-0.249411,-0.502546,0
-0.26143,-0.115691,-0.15707,-0.115926,-0.450345,0.084002,-0.133955,0.192557,0.100328,-0.0562176,0.0443253,0.240354,-0.034895,-0.041382,-0.126471,-0.214655,-0.492279,-0.161024,0.15238,-0.00616433,0.158776,0.0463254,0.277656,0.0835843,-0.0251853,0.297805,0.102833,-0.412989,-0.193522,-0.295507,0
-0.226179,-0.206399,-0.0931926,-0.259433,0.108133,-0.202018,0.0354703,0.10198,0.215401,0.15249,0.0608643,0.219497,-0.143955,-0.0587802,-0.185479,-0.130977,-0.328537,0.095603,0.381508,0.395166,0.132634,0.188146,0.731873,0.399305,0.012023,0.520931,0.333982,0.61897,0.140208,0.167354,0
