0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,Fake
0.516513,-0.130278,-0.247896,-0.158433,-0.17737,-0.15034,-0.283429,-0.504637,-0.403021,-0.231814,-0.288588,-0.923576,1.32631,0.502141,-0.04241,0.902349,-0.006857,1.02392,0.313013,0.846694,1.72875,-1.00678,1.00312,0.327286,-0.687174,-0.581158,1.33038,-0.19063,-0.191444,0.744164,-0.047677,1.43865,0.000371,-0.886806,-0.554771,-0.731259,-0.16011,0.348435,0.512316,0.458645,-0.737779,0.56889,0.575066,1.73206,1.43238,1.0583,0.599331,1.43323,-0.556916,-1.03036,0.30356,1.06579,-0.361302,-1.08754,1.39537,0.203343,-0.904009,-1.03389,-0.085925,3.06445,0.213722,0.985319,-1.12292,1.63672,1.11318,-0.331971,-0.043572,-0.224815,0.904914,-0.672759,0.904983,1.12278,0.160892,-0.225557,0.059819,-0.1421,0.151562,2.64574,-0.805965,-0.637823,1.6208,-0.18359,-0.265913,0.399608,-0.222843,0.289378,0.03747,-1.05193,-0.134382,-0.023221,-0.059939,-0.160572,0.189616,0.042388,1.38692,1.1513,-0.061911,0.860004,1.70589,0
-0.202232,-0.057407,-0.117893,-0.143048,-0.059383,0.046919,-0.115692,0.003704,0.008992,-0.077306,0.118626,-0.083619,0.286653,0.000221,0.231604,0.486419,-0.46671,-0.002744,0.054624,-0.377896,-0.160859,-0.009351,-0.080007,0.14743,-0.258294,0.029817,-0.034468,-0.068161,0.099123,-0.015708,-0.167982,-0.137758,0.063935,-0.051251,-0.011175,-0.00766,0.324336,-0.477843,-0.443341,-0.468197,-0.36898,-0.08877,-0.372847,-0.111567,-0.116895,-0.061152,-0.123159,0.136089,0.075499,-0.0079,-0.407951,-0.103778,-0.21519,-0.170568,0.006487,-0.313787,-0.373754,-0.037505,-0.314711,-0.141829,0.04933,-0.704667,0.005722,-0.101528,-0.376232,-0.43008,0.141163,-0.223961,-0.040113,-0.218748,-0.079868,-0.070389,0.077997,-0.124166,-0.008466,-0.169592,-0.002043,0.146156,-0.106396,-0.096372,0.335679,-0.268991,0.096518,-0.912773,0.088128,0.307124,-0.055584,0.155944,0.234027,0.220423,-0.083385,-0.138118,0.181133,-0.028068,0.395464,0.082266,-0.017432,0.161378,-0.156754,0
-0.097415,0.003239,-0.070433,-0.032843,-0.014742,-0.04679,-0.052069,0.134303,-0.176809,-0.008742,0.091886,-0.110714,0.196846,0.00406,0.203962,0.362531,-0.136883,-0.081827,-0.130083,-0.555728,-0.116757,0.021884,-0.012637,-0.027945,-0.296997,-0.274604,0.121493,0.113501,-0.03796,0.027437,-0.186216,0.003456,0.057104,-0.107224,-0.10601,-0.003706,0.087869,0.061497,-0.02364,-0.201994,-0.333925,0.250185,-0.036357,-0.064752,0.096899,0.044454,0.032467,0.049885,0.208653,-0.067452,0.060238,-0.179272,0.223381,-0.211177,0.206759,-0.167459,-0.27043,-0.503669,-0.108248,0.123914,-0.00518,-0.094853,-0.208923,0.032376,0.0255,-0.192455,-0.057528,0.204968,0.461919,-0.281029,-0.017521,0.184683,0.358689,0.142038,0.098552,0.00969,-0.337242,0.26374,-0.130194,-0.139292,0.152816,0.098745,-0.158435,-0.180356,-0.106269,0.406008,0.188887,-0.017876,-0.008567,-0.058736,0.039325,-0.053063,0.10555,0.357699,0.634891,0.07483,-0.005292,0.290298,0.238498,0
-0.243669,-0.06843,-0.022377,0.040738,0.110886,0.309715,0.005584,0.131792,0.114964,0.060176,0.294816,0.200193,0.155236,-0.124858,0.373774,0.213094,-0.580381,-0.105469,0.000435,-0.0914,-0.042227,0.004522,0.080021,0.177927,-0.10809,0.016276,0.099434,-0.073072,0.107367,0.117633,-0.201407,-0.256903,0.08044,-0.133573,0.04893,0.360162,0.41737,-0.405701,-0.187515,-0.47664,-0.008286,0.063042,-0.259962,-0.066157,-0.08131,0.003356,0.10227,0.121539,0.507314,0.258435,-0.124104,-0.004315,0.170888,0.061237,0.1753,-0.17492,-0.169818,-0.010548,-0.170846,-0.522046,0.01678,-0.418149,0.097984,0.118182,-0.111299,-0.090043,0.121581,0.019319,-0.016694,-0.279482,0.019929,-0.102246,0.022583,-0.12567,0.406984,-0.096914,-0.051008,0.359218,-0.027913,0.115375,0.33643,-0.111905,0.144486,-0.71974,0.229688,0.493679,-0.093037,0.438288,0.499179,0.194518,-0.183155,0.071329,0.242704,-0.021267,0.186947,0.216478,0.090774,0.437139,0.27625,0
-0.301366,-0.165569,-0.118513,-0.054286,-0.0331,0.224965,-0.07401,0.099758,0.012838,0.005483,0.167406,0.172787,-0.145048,-0.193778,0.331373,0.128964,-0.721686,-0.128634,-0.063497,0.129804,-0.06636,0.043982,-0.046927,0.100704,0.009232,0.001093,-0.055102,-0.122006,-0.02361,-0.166125,-0.25976,-0.398867,-0.000974,-0.07359,0.028391,0.13682,0.316761,-0.416062,0.00648,-0.494041,-0.1849,0.141341,-0.16462,-0.092312,-0.187208,0.006688,0.001001,0.044125,0.333178,0.113475,-0.123515,-0.312959,0.209433,0.027321,0.13195,-0.191984,-0.061002,-0.149102,-0.153133,0.125866,-0.072505,-0.423803,0.100188,-0.048068,-0.0681,0.127535,-0.013725,-0.100163,-0.052149,-0.127416,-0.066186,-0.089077,0.081116,-0.093121,0.327112,-0.054649,-0.020547,0.210245,-0.070217,0.146923,0.131397,-0.063798,0.005458,-0.494654,0.258786,0.648669,0.127812,0.402715,0.475856,0.057191,-0.070897,0.095234,0.268524,0.059149,-0.002255,0.220404,0.186096,0.319391,0.118083,0
-0.21567,-0.277965,-0.21193,-0.148383,-0.093206,0.119969,-0.17445,-0.088841,-0.020825,-0.113028,0.163935,0.292825,0.263178,0.175086,0.326239,0.257662,-0.493588,-0.144984,-0.08192,-0.188642,0.045171,-0.155374,0.069991,0.160976,-0.293398,0.151874,-0.140867,-0.067724,0.078069,-0.144519,-0.006054,-0.19232,0.214111,0.125537,0.153611,0.491508,0.180414,-0.350283,-0.215253,-0.400369,-0.171994,-0.066987,-0.024723,-0.211257,-0.357067,-0.130547,-0.161354,-0.092561,0.183813,0.142125,-0.108241,-0.217236,-0.059083,-0.094242,0.077328,-0.273119,-0.22555,0.032147,-0.316971,0.107201,-0.066994,-0.491777,0.035436,-0.022925,-0.096093,-0.177928,-0.046188,-0.154827,0.009111,-0.1725,-0.031532,-0.149729,-0.139138,-0.065403,-0.098826,-0.140458,-0.152906,0.202915,0.011289,-0.009189,0.362369,-0.052466,0.140061,-0.669563,-0.049524,0.387451,0.007164,0.289551,0.415898,0.218478,-0.07098,0.049451,0.311428,0.1172,0.13071,-0.121127,-0.149209,0.38308,-0.037688,0
-0.276482,1.46354,1.52571,1.45229,1.56505,1.8462,1.48135,1.61284,1.3547,1.48079,1.6658,0.525579,0.353256,1.31827,1.41626,1.53991,-0.104646,0.200707,0.960933,0.926117,1.04547,0.291623,1.28063,0.876688,0.338936,0.030898,0.791592,1.18322,0.897985,0.385983,0.139371,0.580946,0.356196,0.81103,0.533374,0.590815,1.28224,0.500581,0.106064,0.771801,-0.403147,0.039179,0.52177,0.240812,-0.166442,1.09801,0.43715,1.23375,0.705391,0.586777,0.218379,-0.192879,0.142009,0.588083,0.979389,0.448089,-0.009546,0.399706,-0.292328,0.090685,1.17824,0.099854,0.726857,-0.331589,0.609098,-0.829913,0.504871,-0.551345,0.528778,1.1594,-0.259864,0.779779,0.320594,0.770039,-0.198429,-0.009457,-0.028972,0.898552,0.269878,-0.269206,1.4457,1.30792,0.441526,0.291032,0.815414,2.9377,0.33022,0.515332,1.76329,0.090374,1.00754,0.197472,0.319531,1.47409,0.137711,0.752873,1.25765,1.16099,-0.175044,0
-0.113123,0.335836,0.431703,0.407125,0.511512,0.609659,0.50002,0.603958,0.751171,0.540994,0.807619,0.399746,0.071988,0.019248,0.519543,0.345741,-0.64325,-0.304869,0.386511,0.146347,0.288221,0.389405,0.387446,0.585922,-0.118823,0.465605,0.588712,-0.102579,0.449212,0.406694,0.264988,-0.347928,0.389293,0.034095,0.391166,0.682904,0.492145,-0.295336,-0.429521,-0.563914,-0.268003,-0.181375,-0.488307,0.163278,0.431268,0.008958,0.358038,0.284291,0.336081,0.469031,0.035324,0.051155,-0.047791,0.08585,0.344989,0.174744,-0.131536,0.306348,-0.447323,0.468285,0.169119,-0.63037,0.320717,-0.026253,-0.246558,0.243754,0.253541,-0.384131,-0.12427,-0.132336,0.014182,-0.051865,0.043185,-0.228388,0.362722,-0.085889,0.259673,0.315419,0.086451,0.313645,0.423385,-0.341935,0.410234,-1.15162,0.411555,0.431679,-0.25391,0.586829,0.899786,0.655539,-0.168801,0.445198,0.309692,0.094551,0.472088,0.46117,0.446066,0.616275,0.3949,0
-0.111178,-0.212042,-0.201873,-0.199215,-0.207908,-0.243443,-0.129837,0.097041,-0.07483,0.032547,0.174212,-0.043882,0.116046,0.035005,0.480929,0.273537,-0.255713,-0.36463,-0.173758,0.277036,-0.462764,-0.070021,0.205767,-0.094676,-0.014591,0.116836,0.174739,0.026678,0.172901,0.281028,-0.103979,-0.748051,-0.058183,-0.168623,0.086674,0.154113,-0.111348,-0.237193,-0.084966,-0.529097,-0.66305,-0.122488,-0.410757,0.075612,0.198344,-0.022549,0.06419,-0.450273,-0.020021,0.059542,-0.383178,-0.327472,0.061527,-0.338905,-0.426964,-0.105483,-0.15602,-0.142942,-0.363364,0.020869,-0.268812,-0.374295,-0.08644,-0.04333,-0.19405,-0.427713,-0.306717,0.195782,-0.172206,-0.427512,-0.180282,-0.345223,-0.177922,-0.016974,-0.263472,-0.025417,-0.235976,-0.15563,-0.420597,-0.295656,-0.06703,-0.136811,0.031703,-1.17357,-0.029702,0.241784,0.255846,-0.003249,-0.014501,-0.129989,0.060297,0.052568,0.188416,-0.40237,0.046032,-0.406355,0.044774,-0.189153,-0.221272,0
-0.051356,0.764902,0.84687,0.759825,0.858908,0.846461,0.832283,1.0505,1.26989,1.02764,1.26802,0.780423,-0.20126,0.334765,-0.354812,0.720262,0.555425,-0.68334,0.584314,-0.530431,-0.199682,1.49754,-0.077027,-0.231819,0.438027,0.813436,-0.218011,0.806914,0.703841,0.670059,-0.14223,0.061048,0.577384,1.23247,0.779309,1.90395,0.389576,0.643645,-0.102605,-0.669633,-0.759497,0.325883,0.811471,0.136636,-0.694802,-0.097513,0.166989,-0.1223,1.33066,1.65211,0.07581,-0.665189,0.262154,1.0335,0.032398,0.416432,1.09289,1.6599,-0.582543,-0.038814,0.719554,-0.305648,0.33057,-1.1985,-0.672278,0.460557,0.550951,-0.459278,-0.192841,0.649903,-1.55337,-0.575524,1.103,0.289566,-0.278843,0.294651,-0.125235,-0.218539,0.939178,0.093519,0.597475,0.75405,0.461056,-0.718026,1.47861,1.69453,0.446268,1.0199,1.93266,1.13597,0.746706,0.155816,0.514335,0.24889,0.53619,0.498527,0.900619,1.35992,-0.079729,0
0.66645,-0.402391,-0.432012,-0.415069,-0.318176,-0.236049,-1.06512,-0.385842,-0.297477,-0.339675,-0.57126,-0.999516,0.006162,-0.549227,0.342867,-0.571278,-1.46686,0.383707,-0.988857,1.31538,-0.396088,-1.11815,-0.563442,0.554927,-1.47171,-0.189849,-0.058156,-0.957348,-0.302306,-0.978869,-0.225868,0.390197,-0.138568,-0.621101,0.126203,-0.939476,0.430751,-0.596856,0.802772,-1.96722,-1.23393,-1.0916,0.338388,0.340311,-0.186822,0.047634,-0.929241,-0.797913,-0.467182,-0.746501,-0.438522,0.420824,-0.521694,-1.3011,0.131912,-0.467577,-0.572728,-1.03307,-0.236462,1.47824,-0.518569,-0.684318,-0.172022,0.435475,0.561492,0.057692,-0.744297,-1.16275,-0.37319,-1.26865,-0.031415,-0.165605,-1.69346,-1.23627,-0.568143,-0.466808,0.131926,1.35207,-0.142539,-0.102922,0.925507,0.04948,0.483194,0.939643,-0.566776,0.406196,1.16539,-0.083414,0.22137,0.02995,-0.405286,0.259161,0.770213,0.278405,0.845316,0.165149,-0.586212,1.11024,1.04931,0
-0.172645,0.192963,0.176654,0.117552,0.115164,0.249188,0.235499,0.199942,0.195058,0.178281,0.478803,0.286541,0.530766,0.429179,0.300396,0.259997,0.37769,0.721993,0.576705,0.60773,0.513736,-0.032968,0.348133,0.32982,0.538343,0.319039,0.41518,0.461845,0.05386,0.640244,-0.13188,0.244987,0.394045,0.394156,0.150211,0.457131,0.110218,0.543621,0.010543,0.596123,0.245507,0.358363,0.321413,0.469044,0.298299,0.330237,0.625911,0.350665,0.274308,0.58498,0.438732,0.532019,0.026592,0.376504,0.455635,0.153155,0.081035,0.231496,0.546867,0.843192,0.509126,0.509485,0.491987,0.283717,0.148895,-0.544809,0.258391,0.043703,0.582128,0.419471,0.358772,0.221286,0.473859,0.673253,0.012739,0.224417,0.098393,0.170463,-0.167307,0.179022,0.683732,-0.384738,-0.08589,-0.149871,-0.01686,0.251723,-0.045469,-0.233558,0.550296,0.575065,0.0758,0.279073,-0.006174,0.304559,0.335951,0.289596,0.163488,0.440025,0.109841,0
-0.069811,0.306355,0.31744,0.202243,0.221274,0.27736,0.252031,0.114719,0.248035,0.28833,0.394462,-0.0037,0.452101,0.363374,0.24613,0.646773,-0.02139,0.356751,0.494669,1.00601,0.390968,-0.231151,0.364202,0.462271,0.214711,0.041181,0.479211,0.272591,0.034484,0.42969,-0.018672,0.634411,0.129956,0.21081,-0.039574,0.29817,0.500795,0.352614,-0.959776,0.162879,0.090291,0.053167,0.2746,-0.699884,0.458388,0.276967,0.551968,0.184185,0.437276,-0.113253,-0.616461,0.289098,0.249056,-0.045515,0.409375,0.325893,-0.308843,-0.156231,0.172254,0.761115,-0.043758,0.352262,0.331608,0.316468,-0.874005,-0.29282,0.065847,0.238697,0.21191,0.091147,0.325761,0.199753,0.040054,0.124513,0.052947,0.401521,0.228327,0.610757,-0.077825,0.025226,0.270983,-0.128388,-0.147422,-0.690349,-0.190245,-0.03297,-0.61789,-0.00659,-0.511115,0.013833,-0.079786,0.504714,-0.010593,0.107925,0.378607,0.048015,-0.058539,-0.042488,0.042662,0
