,ID_REF,IDENTIFIER
489,YBR297W,MAL33
490,YBR298C,MAL31
491,YBR299W,MAL32
492,YBR301W,PAU24
493,YBR302C,COS2
494,YCL001W,RER1
495,YCL001W-A,YCL001W-A
496,YCL001W-B,YCL001W-B
497,YCL002C,YCL002C
498,YCL004W,PGS1
499,YCL005W,LDB16
500,YCL007C,YCL007C
501,YCL008C,STP22
502,YCL009C,ILV6
503,YCL010C,SGF29
504,YCL011C,GBP2
505,YCL014W,BUD3
506,YCL016C,DCC1
508,YCL018W,LEU2
509,YCL021W-A,YCL021W-A
510,YCL024W,KCC4
511,YCL025C,AGP1
512,YCL026C-A,FRM2
513,YCL026C-B,HBN1
514,YCL027W,FUS1
515,YCL028W,RNQ1
516,YCL029C,BIK1
517,YCL030C,HIS4
518,YCL031C,RRP7
519,YCL032W,STE50
520,YCL033C,MXR2
521,YCL034W,LSB5
522,YCL035C,GRX1
523,YCL036W,GFD2
524,YCL037C,SRO9
525,YCL038C,ATG22
526,YCL039W,GID7
527,YCL040W,GLK1
528,YCL042W,YCL042W
529,YCL043C,PDI1
530,YCL044C,MGR1
531,YCL045C,EMC1
532,YCL047C,POF1
533,YCL048W,SPS22
534,YCL049C,YCL049C
535,YCL050C,APA1
536,YCL051W,LRE1
537,YCL052C,PBN1
538,YCL054W,SPB1
539,YCL055W,KAR4
540,YCL056C,PEX34
541,YCL057C-A,MIC10
542,YCL057W,PRD1
543,YCL058C,FYV5
544,YCL059C,KRR1
545,YCL061C,MRC1
546,YCL063W,VAC17
547,YCL064C,CHA1
548,YCL066W,HMLALPHA1
549,YCL067C,HMLALPHA2
550,YCL068C,YCL068C
551,YCL069W,VBA3
552,YCL073C,GEX1
553,YCR002C,CDC10
554,YCR003W,MRPL32
555,YCR004C,YCP4
556,YCR005C,CIT2
557,YCR007C,YCR007C
558,YCR008W,SAT4
559,YCR009C,RVS161
560,YCR010C,ADY2
561,YCR011C,ADP1
562,YCR012W,PGK1
563,YCR014C,POL4
564,YCR015C,CTO1
565,YCR016W,YCR016W
566,YCR017C,CWH43
567,YCR018C,SRD1
568,YCR019W,MAK32
569,YCR020C,PET18
570,YCR020C-A,MAK31
571,YCR020W-B,HTL1
572,YCR021C,HSP30
573,YCR023C,YCR023C
574,YCR024C,SLM5
575,YCR024C-A,PMP1
576,YCR026C,NPP1
577,YCR027C,RHB1
578,YCR028C,FEN2
579,YCR028C-A,RIM1
580,YCR030C,SYP1
581,YCR031C,RPS14A
582,YCR032W,BPH1
583,YCR033W,SNT1
584,YCR034W,ELO2
585,YCR035C,RRP43
586,YCR036W,RBK1
587,YCR037C,PHO87
588,YCR038C,BUD5
589,YCR039C,MATALPHA2
590,YCR040W,MATALPHA1
591,YCR042C,TAF2
592,YCR043C,YCR043C
593,YCR044C,PER1
594,YCR045C,RRT12
595,YCR046C,IMG1
596,YCR047C,BUD23
597,YCR048W,ARE1
598,YCR051W,YCR051W
599,YCR052W,RSC6
600,YCR053W,THR4
601,YCR054C,CTR86
602,YCR057C,PWP2
603,YCR059C,YIH1
604,YCR060W,TAH1
605,YCR061W,YCR061W
606,YCR063W,BUD31
607,YCR065W,HCM1
608,YCR066W,RAD18
609,YCR067C,SED4
610,YCR068W,ATG15
611,YCR069W,CPR4
612,YCR071C,IMG2
613,YCR072C,RSA4
614,YCR073C,SSK22
615,YCR073W-A,SOL2
616,YCR075C,ERS1
617,YCR076C,FUB1
618,YCR077C,PAT1
619,YCR079W,PTC6
620,YCR081W,SRB8
621,YCR082W,AHC2
622,YCR083W,TRX3
623,YCR084C,TUP1
624,YCR086W,CSM1
625,YCR087C-A,YCR087C-A
626,YCR088W,ABP1
627,YCR089W,FIG2
628,YCR090C,YCR090C
629,YCR091W,KIN82
630,YCR092C,MSH3
631,YCR093W,CDC39
632,YCR094W,CDC50
633,YCR095C,OCA4
634,YCR096C,HMRA2
635,YCR097W,HMRA1
636,YCR098C,GIT1
637,YCR099C,YCR099C
638,YCR100C,YCR100C
639,YCR101C,YCR101C
640,YCR102C,YCR102C
641,YCR104W,PAU3
642,YCR105W,ADH7
643,YCR106W,RDS1
644,YCR107W,AAD3
645,YDL001W,RMD1
646,YDL002C,NHP10
647,YDL003W,MCD1
648,YDL004W,ATP16
649,YDL005C,MED2
650,YDL006W,PTC1
651,YDL007W,RPT2
652,YDL008W,APC11
653,YDL010W,GRX6
654,YDL012C,YDL012C
655,YDL013W,SLX5
656,YDL014W,NOP1
657,YDL015C,TSC13
658,YDL017W,CDC7
659,YDL018C,ERP3
660,YDL019C,OSH2
661,YDL020C,RPN4
662,YDL021W,GPM2
663,YDL022W,GPD1
664,YDL024C,DIA3
665,YDL025C,RTK1
666,YDL027C,MRX9
667,YDL028C,MPS1
668,YDL029W,ARP2
669,YDL030W,PRP9
670,YDL031W,DBP10
671,YDL033C,SLM3
672,YDL035C,GPR1
673,YDL036C,PUS9
675,YDL038C,PRM7
676,YDL039C,PRM7
677,YDL040C,NAT1
678,YDL042C,SIR2
679,YDL043C,PRP11
680,YDL044C,MTF2
681,YDL045C,FAD1
682,YDL045W-A,MRP10
683,YDL046W,NPC2
684,YDL047W,SIT4
685,YDL048C,STP4
686,YDL049C,KNH1
687,YDL051W,LHP1
688,YDL052C,SLC1
689,YDL053C,PBP4
690,YDL054C,MCH1
691,YDL055C,PSA1
692,YDL056W,MBP1
693,YDL057W,YDL057W
694,YDL058W,USO1
695,YDL059C,RAD59
696,YDL060W,TSR1
697,YDL061C,RPS29B
698,YDL063C,SYO1
699,YDL064W,UBC9
700,YDL065C,PEX19
701,YDL066W,IDP1
702,YDL067C,COX9
703,YDL069C,CBS1
704,YDL070W,BDF2
705,YDL072C,YET3
706,YDL073W,AHK1
707,YDL074C,BRE1
708,YDL075W,RPL31A
709,YDL076C,RXT3
710,YDL077C,VAM6
711,YDL078C,MDH3
712,YDL079C,MRK1
713,YDL080C,THI3
714,YDL081C,RPP1A
715,YDL082W,RPL13A
716,YDL083C,RPS16B
717,YDL084W,SUB2
718,YDL085C-A,YDL085C-A
719,YDL085W,NDE2
720,YDL086W,YDL086W
721,YDL087C,LUC7
722,YDL088C,ASM4
723,YDL089W,NUR1
724,YDL090C,RAM1
725,YDL091C,UBX3
726,YDL092W,SRP14
727,YDL093W,PMT5
728,YDL095W,PMT1
729,YDL097C,RPN6
730,YDL098C,SNU23
731,YDL099W,BUG1
732,YDL100C,GET3
733,YDL101C,DUN1
734,YDL102W,POL3
735,YDL103C,QRI1
736,YDL104C,QRI7
737,YDL105W,NSE4
738,YDL106C,PHO2
739,YDL107W,MSS2
740,YDL108W,KIN28
741,YDL109C,YDL109C
742,YDL110C,TMA17
743,YDL111C,RRP42
744,YDL112W,TRM3
745,YDL113C,ATG20
746,YDL114W,YDL114W
747,YDL115C,IWR1
748,YDL116W,NUP84
749,YDL117W,CYK3
750,YDL119C,HEM25
751,YDL120W,YFH1
752,YDL121C,YDL121C
753,YDL122W,UBP1
754,YDL123W,SNA4
755,YDL124W,YDL124W
756,YDL125C,HNT1
757,YDL126C,CDC48
758,YDL127W,PCL2
759,YDL128W,VCX1
760,YDL129W,YDL129W
761,YDL130W,RPP1B
762,YDL130W-A,STF1
763,YDL131W,LYS21
764,YDL132W,CDC53
765,YDL133C-A,RPL41B
766,YDL133W,SRF1
767,YDL134C,PPH21
768,YDL135C,RDI1
769,YDL136W,RPL35B
770,YDL137W,ARF2
771,YDL138W,RGT2
772,YDL139C,SCM3
773,YDL140C,RPO21
